"","text","in_reply_to_user_id","possibly_sensitive","created_at.x","reply_settings","conversation_id","author_id","lang","id","protected","location","profile_image_url","verified","username","created_at.y","name","description","url","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"1","@ScottforFlorida @SenBillNelson Your record is washing up dead along the beaches from #Clearwater to #siestakey and down to #marcoisland.  Your record is aerosolized neurotoxins from k. Brevis causing respiratory distress and blue-green algae clogging our waterways . https   www newsweek com florida red tide latest update political heat iicreases scientists search 1065523","306389855",FALSE,2018-08-09 13:10:10,"everyone","1027199830907658240","334954450","en","1027542555746029569",FALSE,"Washington, DC","https://pbs.twimg.com/profile_images/1385293072997748743/MtZLSw5q_normal.jpg",FALSE,"malthus500","2011-07-13T22:49:12.000Z","Theo","Immunologist, Musician, Traveler....in no particular order",NA,"932802375961718785",0,0,0,0,0,550,1293,7791,5,NA,"@ScottforFlorida @SenBillNelson Your record is washing up dead along the beaches from #Clearwater to #siestakey and down to #marcoisland.  Your record is aerosolized neurotoxins from k. Brevis causing respiratory distress and blue-green algae clogging our waterways https://t.co/PPIK4IqjYz",FALSE
"2","@RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!. ","487297085",FALSE,2018-08-09 21:05:30,"everyone","1027639515261952000","221396657","en","1027662175069003777",FALSE,"sunny florida","https://pbs.twimg.com/profile_images/451155265593696256/7ymkTcKp_normal.jpeg",FALSE,"dereck72vapes","2010-11-30T15:17:32.000Z","UltraMAGAdereck72","Twitter much better after Elon bought it",NA,"1594511084098289664",2,0,3,0,0,2453,2053,21498,46,NA,"@RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!",FALSE
"3","RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!. ",NA,FALSE,2018-08-10 07:27:29,"everyone","1027818703935692800","918733847579283456","en","1027818703935692800",FALSE,"Texas, USA, World, Universe","https://pbs.twimg.com/profile_images/1370560869227192322/QRoSQpWR_normal.jpg",FALSE,"MemeBurk","2017-10-13T07:03:13.000Z","Meme Burk🌎🌊🇺🇸💙🇺🇦😷","RetiredSci.Teacher;Progrsve;#BLM MEdCounseling;GreenPeace;#RESIST WildlifeHabitatCreator; #IAmAntifa #ClimateCrisisIsHere #ProtectLivingThings#BidenHarris",NA,NA,2,0,0,0,0,8635,8661,658012,29,NA,"RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!",FALSE
"4","RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!. ",NA,FALSE,2018-08-10 14:10:39,"everyone","1027920164023611392","2796475822","en","1027920164023611392",FALSE,"New York, USA","https://pbs.twimg.com/profile_images/1001622425325522945/GLgGU0-j_normal.jpg",FALSE,"downey1950_w","2014-09-30T21:30:11.000Z","sydown","Retired.Gardener,reader,tv freak,swimmer,counselor,friend, #RESIST NO DMs PLEASE",NA,"1009747580023201792",2,0,0,0,0,2850,2947,223225,0,NA,"RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!",FALSE
"5","@ScottforFlorida @scottforFlorida in Jacksonville today avoiding thousands of dead fish in Pinellas County #MondayMorning #FLWaterCrisis #makethegulfgreatagain #VoteCleanWater #BlueGreenAlgae #LakeOkeechobee #SendTheWaterSouth #stopthebloom #deathtide #stoplakeopollution #stopharmfuldischargesact. ","306389855",FALSE,2018-09-10 14:19:07,"everyone","1039131731180380161","101929521","en","1039156320040087552",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1026627019960983552/y3nQnXYa_normal.jpg",FALSE,"Bakernl","2010-01-05T02:21:03.000Z","Thalassophile","Semi-retired former exec assistant now enjoying life. Promoter of positive actions to protect our precious natural environment and all the creatures within it.",NA,NA,0,0,0,0,0,30,263,1215,3,NA,"@ScottforFlorida @scottforFlorida in Jacksonville today avoiding thousands of dead fish in Pinellas County #MondayMorning #FLWaterCrisis #makethegulfgreatagain #VoteCleanWater #BlueGreenAlgae #LakeOkeechobee #SendTheWaterSouth #stopthebloom #deathtide #stoplakeopollution #stopharmfuldischargesact",FALSE
"6","#RedTide is strong and toxins fill the air. #Sarasota county is still also very much affected. The stench now spreads from Naples to Clearwater. Staying 1 mile away from water is not easy on the coast, people are sick and #cdc is clueless. #Florida #algae . http   www winknews com 2018 09 24 doctors warn of potential airborne toxins from blue green algae red tide",NA,FALSE,2018-09-26 01:03:36,"everyone","1044754327183806465","1000908886357004288","en","1044754327183806465",FALSE,NA,"https://pbs.twimg.com/profile_images/1405991040293670915/toHH0_2M_normal.jpg",FALSE,"MatZagataMD","2018-05-28T01:17:29.000Z","DoctorZ","Family Doc, musician, co-founder of Solar Boat LLC. Interested in Tesla, Geopolitics, History, and Medicine. 🇺🇸 🇵🇱 My opinions are my own.",NA,NA,0,0,0,0,0,175,526,688,3,NA,"#RedTide is strong and toxins fill the air. #Sarasota county is still also very much affected. The stench now spreads from Naples to Clearwater. Staying 1 mile away from water is not easy on the coast, people are sick and #cdc is clueless. #Florida #algae https://t.co/nKpwd7kk4n",FALSE
"7","The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the algae is a type of cyanobacteria called lyngbya, reports @angie_angers

. https   www baynews9 com fl tampa news 2019 05 26 gumbo blue green algae discovered in manatee pinellas counties",NA,FALSE,2019-05-26 18:03:01,"everyone","1132708735594434560","17308428","en","1132708735594434560",FALSE,"Tampa Bay area","https://pbs.twimg.com/profile_images/912176447036502017/BBeoQTuF_normal.jpg",TRUE,"BN9","2008-11-11T12:03:53.000Z","Spectrum Bay News 9","Breaking news first in Tampa Bay. Continuous updates and in-depth coverage only @BN9, @BN9weather and @BN9Traffic can provide  |  News. Weather. Now.","http://t.co/j3OZJEwDmE",NA,5,0,1,2,0,384372,446,145386,1755,NA,"The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the algae is a type of cyanobacteria called lyngbya, reports @angie_angers

https://t.co/HvOEpmwRuN",FALSE
"8","RT @BN9: The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the algae is a type of cyanobacteria called lyngbya, reports @angie_angers

. https   www baynews9 com fl tampa news 2019 05 26 gumbo blue green algae discovered in manatee pinellas counties",NA,FALSE,2019-05-26 18:07:52,"everyone","1132709954090164226","796547322452787204","en","1132709954090164226",FALSE,"🌎","https://pbs.twimg.com/profile_images/891085612270456832/sXTKpZPa_normal.jpg",FALSE,"darbyfamilySH","2016-11-10T02:57:35.000Z","🇮🇪DARBY🇺🇸","💙 ☘️ 🧚‍♀️ 
 Love our 🌎
 Love my Family
NO DM'S PLEASE",NA,NA,5,0,0,0,0,351,1009,24920,0,NA,"RT @BN9: The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the algae is a type of cyanobacteria called lyngbya, reports @angie_angers

https://t.co/HvOEpmwRuN",FALSE
"9","RT @BN9: The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the algae is a type of cyanobacteria called lyngbya, reports @angie_angers

. https   www baynews9 com fl tampa news 2019 05 26 gumbo blue green algae discovered in manatee pinellas counties",NA,FALSE,2019-05-26 22:16:36,"everyone","1132772551451709441","763537721684070402","en","1132772551451709441",FALSE,"Mobile,al","https://pbs.twimg.com/profile_images/869609281783566338/8Po-Ujan_normal.jpg",FALSE,"ejd922again","2016-08-11T00:49:13.000Z","LizD","",NA,NA,5,0,0,0,0,496,634,79199,1,NA,"RT @BN9: The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the algae is a type of cyanobacteria called lyngbya, reports @angie_angers

https://t.co/HvOEpmwRuN",FALSE
"10","RT @BN9: The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the algae is a type of cyanobacteria called lyngbya, reports @angie_angers

. https   www baynews9 com fl tampa news 2019 05 26 gumbo blue green algae discovered in manatee pinellas counties",NA,FALSE,2019-05-27 01:37:14,"everyone","1132823040155422721","274642013","en","1132823040155422721",FALSE,"Florida","https://pbs.twimg.com/profile_images/500471800502165505/lEtsXEE__normal.jpeg",FALSE,"PuggieSue","2011-03-30T18:00:18.000Z","Suzanne Ryan","",NA,NA,5,0,0,0,0,338,248,174734,2,NA,"RT @BN9: The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the algae is a type of cyanobacteria called lyngbya, reports @angie_angers

https://t.co/HvOEpmwRuN",FALSE
